S000000194	YBL098W	BNA4	Biosynthesis of Nicotinic Acid	kynurenine 3-monooxygenase	Kynurenine 3-monooxygenase	S. cerevisiae	ORF
S000000195	YBL099W	ATP1	ATP synthase	F1F0 ATP synthase subunit alpha	Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase	S. cerevisiae	ORF
S000000197	YBL101C	ECM21	ExtraCellular Mutant	ART2	Alpha-arrestin, ubiquitin ligase adaptor for Rsp5p	S. cerevisiae	ORF
S000000198	YBL102W	SFT2	Suppressor of sed Five Ts	""	Tetra-spanning membrane protein found mostly in the late Golgi	S. cerevisiae	ORF
S000000199	YBL103C	RTG3	ReTroGrade regulation	""	bHLH/Zip transcription factor for retrograde (RTG) and TOR pathways	S. cerevisiae	ORF
S000000200	YBL104C	SEA4	SEh1-Associated	YBL103C-A	Subunit of SEACAT, a subcomplex of the SEA complex	S. cerevisiae	ORF
S000000201	YBL105C	PKC1	Protein Kinase C	CLY15|CLY5|CLY7|HPO2|protein kinase C|RSF8|STT1	Protein serine/threonine kinase	S. cerevisiae	ORF
S000000202	YBL106C	SRO77	Suppressor of rho3	putative Rab GTPase-binding protein SRO77|SNI2|SOP2	Protein with roles in exocytosis and cation homeostasis	S. cerevisiae	ORF
S000000203	YBL107C	MIX23	Mitochondrial Intermembrane space CX(n)C motif protein	MIC23	Mitochondrial intermembrane space protein of unknown function	S. cerevisiae	ORF
S000000205	YBR001C	NTH2	Neutral TreHalase	alpha,alpha-trehalase NTH2	Putative neutral trehalase, required for thermotolerance	S. cerevisiae	ORF
S000000206	YBR002C	RER2	Retention in the Endoplasmic Reticulum	ditrans,polycis-polyprenyl diphosphate synthase	Forms the dehydrodolichyl diphosphate synthase (DDS) complex with NUS1	S. cerevisiae	ORF
S000000207	YBR003W	COQ1	COenzyme Q	trans-hexaprenyltranstransferase	Hexaprenyl pyrophosphate synthetase	S. cerevisiae	ORF
S000000208	YBR004C	GPI18	GlycosylPhosphatidylInositol	FMP44|GPI-anchor transamidase GPI18	Functional ortholog of human PIG-V	S. cerevisiae	ORF
S000000209	YBR005W	RCR1	Resistance to Congo Red	SSH6	Plasma membrane (PM) ubiquitin ligase-substrate adaptor	S. cerevisiae	ORF
S000000210	YBR006W	UGA2	Utilization of GAba	succinate-semialdehyde dehydrogenase (NAD(P)(+))|UGA5	Succinate semialdehyde dehydrogenase	S. cerevisiae	ORF
